Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Vendor DUNS,Vendor Name,Vendor City,Vendor State,Vendor ZIP Code,Global DUNS Number,Global Vendor Name,Additional Reporting Code,Additional Reporting Description,
"AE070198912DDAAE0790CJ002",,"0","0","DCA Definitive Contract","$1,044,000.00","Dec 15, 1989",,"2100","DEPT OF THE ARMY","DOD/DEPARTMENT OF THE ARMY","P","2330","TRAILERS",,,"609313325","SBA DENVER",,,,"609313325","SBA DENVER",,,
"00011198411BSBA8456OBD84",,"0","0","PO Purchase Order","$41,000.00","Apr 15, 1987",,"7300","SMALL BUSINESS ADMINISTRATION","SMALL BUSINESS ADMINISTRATION","S","D302","ADP SYSTEMS DEVELOPMENT SERVICES",,,"175354208",,,,,"175354208","SBA ADVANCE INCORPORATED",,,
"00011199007DSBA5030OBD90",,"0","0","DCA Definitive Contract","$91,000.00","Jul 15, 1990",,"7300","SMALL BUSINESS ADMINISTRATION","SMALL BUSINESS ADMINISTRATION","S","D303","ADP DATA ENTRY SERVICES",,,"175354208","SBA ADVANCE INCORPORATED",,,,"175354208","SBA ADVANCE INCORPORATED",,,
"0001","N6600199D5016","0","0","DO Delivery Order","$56,494.00","Jan 26, 1999",,"1700","DEPT OF THE NAVY","SPACE AND NAVAL WARFARE SYSTEMS","S","R408","PROGRAM MANAGEMENT/SUPPORT SERVICES",,,"119076719","INTEGRATED SYSTEMS CONTROL, IN","VIRGINIA BEACH","VA","23462","119076719","INTEGRATED SYS SBA",,,
"0001","W912JC07D5317","0","0","DO Delivery Order","$200.00","Sep 26, 2007",,"2100","DEPT OF THE ARMY","W7M9 USPFO ACTIVITY KS ARNG","S","Z299","MAINT, REP/ALTER/ALL OTHER","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","799064659","SBA CONSTRUCTION COMPANY INCORPORATED","WICHITA","KS","672132938","799064659","SBA CONSTRUCTION COMPANY",,,
"0001","W912JC12D5316","0","0","DO Delivery Order","$200.00","Sep 9, 2015",,"2100","DEPT OF THE ARMY","W7M9 USPFO ACTIVITY KS ARNG","S","Y1AZ","CONSTRUCTION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","799064659","SBA CONSTRUCTION COMPANY","WICHITA","KS","672132938","799064659","SBA CONSTRUCTION COMPANY",,,
"0002","N6600199D5016","0","0","DO Delivery Order","$28,000.00","Feb 5, 1999",,"1700","DEPT OF THE NAVY","SPACE AND NAVAL WARFARE SYSTEMS","S","R408","PROGRAM MANAGEMENT/SUPPORT SERVICES",,,"119076719","INTEGRATED SYSTEMS CONTROL, IN","VIRGINIA BEACH","VA","23462","119076719","INTEGRATED SYS SBA",,,
"0002","W912JC07D5317","0","0","DO Delivery Order","$149,200.00","Sep 26, 2007",,"2100","DEPT OF THE ARMY","W7M9 USPFO ACTIVITY KS ARNG","S","Z299","MAINT, REP/ALTER/ALL OTHER","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","799064659","SBA CONSTRUCTION COMPANY INCORPORATED","WICHITA","KS","672132938","799064659","SBA CONSTRUCTION COMPANY",,,
"0002","W912JC12D5316","0","0","DO Delivery Order","$186,050.00","Sep 26, 2014",,"2100","DEPT OF THE ARMY","W7M9 USPFO ACTIVITY KS ARNG","S","Y1EZ","CONSTRUCTION OF OTHER INDUSTRIAL BUILDINGS","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","799064659","SBA CONSTRUCTION COMPANY","WICHITA","KS","672132938","799064659","SBA CONSTRUCTION COMPANY",,,
"0002","W912JC07D5317","1","0","DO Delivery Order","$10,909.80","Sep 5, 2008",,"2100","DEPT OF THE ARMY","W7M9 USPFO ACTIVITY KS ARNG","S","Z299","MAINT, REP/ALTER/ALL OTHER","236220","COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION","799064659","SBA CONSTRUCTION COMPANY INCORPORATED","WICHITA","KS","672132938","799064659","SBA CONSTRUCTION COMPANY",,,
